,0,1,2,3,4,5
357,24.0,21.0,18.0,34.0,2.0,34.0
358,20.0,19.0,14.0,22.0,2.0,22.0
359,16.0,20.0,14.0,33.0,2.0,33.0
360,22.0,21.0,15.0,27.0,3.0,27.0
361,31.0,23.0,17.0,35.0,3.0,35.0
362,35.0,24.0,21.0,45.0,4.0,45.0
363,49.0,23.0,18.0,54.0,3.0,54.0
364,38.0,23.0,21.0,30.0,4.0,38.0
365,35.0,20.0,22.0,27.0,2.0,35.0
366,14.0,18.0,12.0,17.0,1.0,18.0
367,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
368,24.0,21.0,20.0,19.0,2.0,24.0
369,23.0,19.0,17.0,21.0,2.0,23.0
370,18.0,19.0,14.0,24.0,2.0,24.0
371,21.0,20.0,14.0,27.0,2.0,27.0
372,48.0,27.0,19.0,44.0,3.0,48.0
373,24.0,23.0,16.0,29.0,2.0,29.0
374,28.0,23.0,16.0,44.0,3.0,44.0
375,40.0,30.0,18.0,36.0,4.0,40.0
376,35.0,22.0,18.0,38.0,4.0,38.0
377,39.0,23.0,17.0,50.0,4.0,50.0
378,31.0,23.0,17.0,38.0,4.0,38.0
379,30.0,21.0,19.0,33.0,3.0,33.0
380,24.0,23.0,19.0,29.0,3.0,29.0
381,35.0,23.0,19.0,34.0,4.0,35.0
382,41.0,22.0,22.0,23.0,5.0,41.0
383,46.0,22.0,27.0,20.0,5.0,46.0
384,27.0,20.0,18.0,23.0,2.0,27.0
385,25.0,20.0,17.0,25.0,2.0,25.0
386,17.0,20.0,17.0,18.0,2.0,20.0
387,28.0,21.0,17.0,34.0,3.0,34.0
388,33.0,23.0,20.0,39.0,3.0,39.0
389,26.0,20.0,19.0,19.0,3.0,26.0
390,21.0,20.0,19.0,25.0,3.0,25.0
391,27.0,21.0,19.0,37.0,3.0,37.0
392,32.0,22.0,17.0,23.0,4.0,32.0
393,22.0,20.0,17.0,19.0,2.0,22.0
394,27.0,21.0,20.0,23.0,3.0,27.0
395,28.0,21.0,20.0,27.0,3.0,28.0
396,44.0,21.0,19.0,31.0,3.0,44.0
397,46.0,23.0,26.0,30.0,4.0,46.0
398,18.0,21.0,19.0,27.0,3.0,27.0
399,22.0,20.0,16.0,27.0,2.0,27.0
400,31.0,19.0,19.0,27.0,3.0,31.0
401,24.0,21.0,35.0,31.0,5.0,35.0
402,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
403,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
404,28.0,23.0,38.0,29.0,3.0,38.0
405,13.0,24.0,26.0,13.6,4.0,26.0
406,24.0,25.0,19.0,30.0,3.0,30.0
407,15.0,20.0,21.0,43.0,3.0,43.0
408,41.0,21.0,22.0,40.0,5.0,41.0
409,37.0,21.0,25.0,36.0,6.0,37.0
410,21.0,22.0,32.0,25.0,5.0,32.0
411,20.0,22.0,23.0,42.0,3.0,42.0
412,13.0,22.0,17.0,24.0,3.0,24.0
413,29.0,22.0,19.0,40.0,3.0,40.0
414,19.0,21.0,20.0,34.0,3.0,34.0
415,24.0,28.0,22.0,29.0,4.0,29.0
416,37.0,21.0,19.0,29.0,3.0,37.0
417,27.0,23.0,28.0,18.0,4.0,28.0
418,49.0,25.0,29.0,25.0,4.0,49.0
419,32.0,22.0,19.0,39.0,3.0,39.0
420,23.0,20.0,16.0,42.0,2.0,42.0
421,36.0,22.0,22.0,41.0,4.0,41.0
422,44.0,22.0,26.0,30.0,4.0,44.0
423,48.0,21.0,26.0,21.0,3.0,48.0
424,52.0,22.0,24.0,66.0,4.0,66.0
425,48.0,21.0,23.0,82.0,4.0,82.0
426,57.0,23.0,19.0,51.0,3.0,57.0
427,42.0,22.0,29.0,130.0,5.0,130.0
428,37.0,20.0,20.0,37.0,3.0,37.0
429,51.0,28.0,20.0,30.0,4.0,51.0
430,47.0,23.0,24.0,27.0,4.0,47.0
431,49.0,22.0,26.0,50.0,4.0,50.0
432,57.0,26.0,29.0,42.0,5.0,57.0
433,49.0,24.0,27.0,23.0,3.0,49.0
434,36.0,25.0,18.0,32.0,2.0,36.0
435,36.0,24.0,20.0,24.0,3.0,36.0
436,49.0,23.0,20.0,23.0,2.0,49.0
437,52.0,22.0,20.0,36.0,3.0,52.0
438,54.0,28.0,24.0,59.0,5.0,59.0
439,52.0,28.0,20.0,72.0,7.0,72.0
440,62.0,26.0,24.0,56.0,6.0,62.0
441,68.0,24.0,46.0,91.0,4.0,91.0
442,42.0,25.0,21.0,68.0,4.0,68.0
443,44.0,24.0,23.0,133.0,6.0,133.0
444,47.0,24.0,27.0,67.0,4.0,67.0
445,30.0,23.0,18.0,33.0,3.0,33.0
446,67.0,24.0,37.0,53.0,7.0,67.0
447,66.0,27.0,23.0,28.0,4.0,66.0
448,26.0,21.0,16.0,40.0,3.0,40.0
449,48.0,22.0,24.0,40.0,4.0,48.0
450,25.0,24.0,20.0,91.0,1.0,91.0
451,52.0,24.0,31.0,87.0,4.0,87.0
452,31.0,23.0,26.0,24.0,5.0,31.0
453,22.0,23.0,31.0,28.0,2.0,31.0
454,14.0,22.0,15.0,21.0,1.0,22.0
455,25.0,22.0,17.0,22.0,1.0,25.0
456,39.0,22.0,18.0,24.0,2.0,39.0
457,45.0,22.0,27.0,23.0,2.0,45.0
458,18.0,22.0,20.0,29.0,3.0,29.0
459,8.0,24.0,25.0,16.0,4.0,25.0
460,8.0,22.0,21.0,7.0,4.0,22.0
461,8.0,23.0,21.0,6.0,4.0,23.0
462,6.0,22.0,16.0,4.0,1.0,22.0
463,11.0,22.0,20.0,10.0,3.0,22.0
464,10.0,22.0,19.0,5.0,2.0,22.0
465,50.0,22.0,20.0,25.0,2.0,50.0
466,33.0,22.0,16.0,19.0,2.0,33.0
467,33.0,22.0,16.0,29.0,2.0,33.0
468,27.0,22.0,21.0,15.0,3.0,27.0
469,53.0,22.0,23.0,44.0,2.0,53.0
470,56.0,23.0,25.0,22.0,7.0,56.0
471,46.0,22.0,20.0,30.0,5.0,46.0
472,63.0,23.0,25.0,41.0,6.0,63.0
473,72.0,22.0,29.0,21.0,5.0,72.0
474,59.0,22.0,30.0,15.0,3.0,59.0
475,64.0,23.0,34.0,24.0,6.0,64.0
476,58.0,22.0,25.0,29.0,4.0,58.0
477,49.0,22.0,27.0,31.8,2.0,49.0
478,61.0,22.0,33.0,40.4,3.0,61.0
479,69.0,22.0,35.0,43.8,2.0,69.0
480,71.0,23.0,32.0,46.6,3.0,71.0
481,50.0,22.0,22.0,28.6,2.0,50.0
482,53.0,22.0,23.0,32.0,3.0,53.0
483,51.0,22.0,26.0,36.2,5.0,51.0
484,54.0,23.0,22.0,32.0,4.0,54.0
485,62.0,24.0,19.0,46.4,9.0,62.0
486,62.0,23.0,22.0,50.6,6.0,62.0
487,70.0,23.0,22.0,43.0,4.0,70.0
488,78.0,23.0,31.0,51.6,4.0,78.0
489,61.0,23.0,23.0,46.2,3.0,61.0
490,48.0,23.0,17.0,31.6,3.0,48.0
491,50.0,24.0,17.0,37.0,2.0,50.0
492,51.0,25.0,21.0,30.0,4.0,51.0
493,12.2,24.0,20.0,9.4,3.0,24.0
494,55.0,2.0,18.0,36.0,3.0,55.0
495,49.0,1.0,16.0,33.0,3.0,49.0
496,62.0,17.0,19.0,48.2,3.0,62.0
497,43.0,16.0,22.0,59.0,3.0,59.0
498,64.0,14.0,20.0,74.0,4.0,74.0
499,63.0,14.0,24.0,80.0,4.0,80.0
500,47.0,13.0,23.0,55.0,3.0,55.0
501,51.0,14.0,19.0,30.0,4.0,51.0
502,42.0,13.0,11.0,27.0,2.0,42.0
503,40.0,14.0,11.0,42.0,4.0,42.0
504,39.0,14.0,19.0,38.0,3.0,39.0
505,29.0,14.0,17.0,50.0,4.0,50.0
506,40.0,14.0,14.0,34.0,4.0,40.0
507,35.0,17.0,12.0,42.0,10.0,42.0
508,19.0,17.0,17.4,34.0,3.4,34.0
509,55.0,18.0,19.8,22.0,5.0,55.0
510,6.0,17.0,24.0,16.0,6.0,24.0
511,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
512,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
513,55.0,13.0,18.0,28.0,7.0,55.0
514,67.0,12.0,18.0,45.0,9.0,67.0
515,43.0,13.0,17.0,35.0,8.0,43.0
516,25.0,12.0,18.0,16.0,8.0,25.0
517,62.0,12.0,13.0,14.0,9.0,62.0
518,50.0,12.0,14.0,26.0,5.0,50.0
519,34.0,11.0,11.0,24.0,3.0,34.0
